total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,tenant0_slo_miss_rate,tenant1_slo_miss_rate,arrival_rate,seed,case,experiment,workload,policy_name
2240,2240,2084,0,156,0.0,20.84,0.9977678571428571,0.9977678571428571,0.9303571428571429,16.672,0.8,0.0,3330.055395065405,6401.6442947689175,6975.931709808517,"{0: 0.9963735267452403, 1: 0.9991204925241864}",0.7290518208076568,0.9963735267452403,0.9991204925241864,20,43,ON-OFF | EDF + Fixed,burstiness,ON-OFF,EDF + Fixed
2229,2229,2073,0,156,0.0,20.73,0.9973082099596231,0.9973082099596231,0.9300134589502019,16.584,0.8,0.0,3944.441994482404,7884.671595919077,8169.375544053256,"{0: 0.9955156950672646, 1: 0.9991023339317774}",0.6924670243467799,0.9955156950672646,0.9991023339317774,20,44,ON-OFF | EDF + Fixed,burstiness,ON-OFF,EDF + Fixed
2144,2144,2144,0,0,0.0,21.44,0.2019589552238806,0.2019589552238806,1.0,13.852,0.6460820895522387,0.769589552238806,129.89643379880363,294.0275014629165,333.7455179142388,"{0: 0.32386363636363635, 1: 0.08363970588235294}",0.9777513380717077,0.32386363636363635,0.08363970588235294,20,42,ON-OFF | EDF + Threshold Downgrade,burstiness,ON-OFF,EDF + Threshold Downgrade
2240,2240,2240,0,0,0.0,22.4,0.18214285714285713,0.18214285714285713,1.0,14.402000000000001,0.6429464285714285,0.7852678571428572,135.98294109825656,291.0139388119518,325.95466204195577,"{0: 0.3055303717135086, 1: 0.06244503078276165}",0.9782962622164112,0.3055303717135086,0.06244503078276165,20,43,ON-OFF | EDF + Threshold Downgrade,burstiness,ON-OFF,EDF + Threshold Downgrade
2229,2229,2229,0,0,0.0,22.29,0.23912068192014357,0.23912068192014357,1.0,14.344000000000001,0.6435172723194257,0.7824136384028713,140.2635131154966,296.2097813846485,340.71983230308507,"{0: 0.38923766816143496, 1: 0.08886894075403949}",0.9625074427450695,0.38923766816143496,0.08886894075403949,20,44,ON-OFF | EDF + Threshold Downgrade,burstiness,ON-OFF,EDF + Threshold Downgrade
2144,2144,2144,0,0,0.0,21.44,0.5694962686567164,0.5694962686567164,1.0,15.019,0.7005130597014924,0.6077425373134329,153.57158801340483,449.7387361655513,494.7151357904526,"{0: 0.30492424242424243, 1: 0.8262867647058824}",0.7352275605954133,0.30492424242424243,0.8262867647058824,20,42,ON-OFF | Proposed,burstiness,ON-OFF,Proposed
2240,2240,2240,0,0,0.0,22.4,0.603125,0.603125,1.0,15.559000000000001,0.6945982142857142,0.6308035714285715,166.4108368801526,452.1713351165898,500.9793536952732,"{0: 0.3318223028105168, 1: 0.8663148636763413}",0.6923735714399113,0.3318223028105168,0.8663148636763413,20,43,ON-OFF | Proposed,burstiness,ON-OFF,Proposed
2229,2229,2229,0,0,0.0,22.29,0.5877074921489457,0.5877074921489457,1.0,15.499,0.6953342305966801,0.6352624495289367,144.06142297982296,447.8682793685148,492.5018215860031,"{0: 0.33004484304932735, 1: 0.8456014362657092}",0.718838051749467,0.33004484304932735,0.8456014362657092,20,44,ON-OFF | Proposed,burstiness,ON-OFF,Proposed
2501,2501,2076,0,425,0.0,20.76,0.9884046381447421,0.9884046381447421,0.8300679728108756,16.608,0.8,0.0,7375.21843292256,14367.746020798782,15493.127791445695,"{0: 0.989344262295082, 1: 0.9875097580015613}",0.9937573829050068,0.989344262295082,0.9875097580015613,25,42,Poisson | EDF + Fixed,burstiness,Poisson,EDF + Fixed
2574,2574,2084,0,490,0.0,20.84,0.9972804972804973,0.9972804972804973,0.8096348096348096,16.672,0.8,0.0,11096.634593858016,18748.434401779385,19562.68170380922,"{0: 0.9959871589085072, 1: 0.9984939759036144}",0.8289660145642339,0.9959871589085072,0.9984939759036144,25,43,Poisson | EDF + Fixed,burstiness,Poisson,EDF + Fixed
