total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,tenant0_slo_miss_rate,tenant1_slo_miss_rate,arrival_rate,seed,case,experiment,policy_name
2501,2501,2499,0,2,0.0,24.99,0.3358656537385046,0.3358656537385046,0.9992003198720512,18.839000000000002,0.753861544617847,0.3006797281087565,118.94835024925669,353.66475716330825,391.8044827201608,"{0: 0.2713114754098361, 1: 0.39734582357533177}",0.9911177423521634,0.2713114754098361,0.39734582357533177,25,42,Proposed: Feasible Utility,ablation,Proposed
2574,2574,2566,0,8,0.0,25.66,0.3356643356643357,0.3356643356643357,0.9968919968919969,19.322,0.7530007794232267,0.31546231546231546,123.90674089835011,351.15356563452383,390.7411713639867,"{0: 0.2640449438202247, 1: 0.40286144578313254}",0.9892730299400367,0.2640449438202247,0.40286144578313254,25,43,Proposed: Feasible Utility,ablation,Proposed
2581,2581,2576,0,5,0.0,25.76,0.35490120108485085,0.35490120108485085,0.9980627663696242,19.365,0.7517468944099378,0.32739248353351413,125.1891677966778,358.45506663359527,393.54409166785354,"{0: 0.2725060827250608, 1: 0.43026706231454004}",0.9854255840363242,0.2725060827250608,0.43026706231454004,25,44,Proposed: Feasible Utility,ablation,Proposed
2501,2280,2278,221,2,0.08836465413834466,22.78,0.2922830867652939,0.2236842105263158,0.9991228070175439,17.619,0.7734416154521511,0.218859649122807,104.89551757485242,346.6747451317402,383.2708914951371,"{0: 0.23442622950819672, 1: 0.3473848555815769}",0.9936958850830007,0.23442622950819672,0.3473848555815769,25,42,Proposed: Feasible Utility + Admission,ablation,Proposed + Admission
2574,2338,2331,236,7,0.09168609168609168,23.31,0.31895881895881895,0.25021385799828916,0.9970059880239521,18.014,0.7728013728013727,0.22412318220701455,118.26848322639125,346.754725631552,376.8731468825975,"{0: 0.2608346709470305, 1: 0.37349397590361444}",0.9932407846975064,0.2608346709470305,0.37349397590361444,25,43,Proposed: Feasible Utility + Admission,ablation,Proposed + Admission
2581,2355,2350,226,5,0.08756296009298721,23.5,0.32506780317706313,0.2602972399150743,0.9978768577494692,18.132,0.7715744680851063,0.23651804670912951,115.8039998975737,347.29076667528204,380.97634260897104,"{0: 0.25790754257907544, 1: 0.38649851632047477}",0.9910819215986076,0.25790754257907544,0.38649851632047477,25,44,Proposed: Feasible Utility + Admission,ablation,Proposed + Admission
2988,2039,2033,949,6,0.3176037483266399,20.33,0.5020080321285141,0.27023050514958313,0.9970573810691515,16.264,0.8000000000000002,0.0,184.26728323093266,348.1936459184755,377.9072591802577,"{0: 0.5414965986394558, 1: 0.463768115942029}",0.993931216232778,0.5414965986394558,0.463768115942029,30,42,Admission Only + Fixed Model,ablation,Admission Only + Fixed
3049,2057,2052,992,5,0.32535257461462774,20.52,0.5008199409642505,0.2600875060768109,0.997569275644142,16.416,0.8000000000000002,0.0,202.47199655301154,349.099139231731,382.6543786278936,"{0: 0.5724881995954147, 1: 0.4329501915708812}",0.9806956185351345,0.5724881995954147,0.4329501915708812,30,43,Admission Only + Fixed Model,ablation,Admission Only + Fixed
3102,2042,2038,1060,4,0.3417150225660864,20.38,0.5328820116054158,0.29040156709108716,0.9980411361410382,16.304000000000002,0.8000000000000002,0.0,224.11778537568534,353.6738849078596,394.77923820642286,"{0: 0.5885135135135136, 1: 0.48212083847102344}",0.9870641313772157,0.5885135135135136,0.48212083847102344,30,44,Admission Only + Fixed Model,ablation,Admission Only + Fixed
2988,2988,2983,0,5,0.0,29.83,0.13788487282463185,0.13788487282463185,0.9983266398929049,21.274,0.7131746563861883,0.4347389558232932,105.62970000818314,269.8150115722321,317.72619906976905,"{0: 0.23877551020408164, 1: 0.04018445322793149}",0.9868600713993371,0.23877551020408164,0.04018445322793149,30,42,Threshold Downgrade,ablation,Threshold Downgrade
