total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,arrival_rate,policy,seed
1569,1472,1472,97,0,0.061822817080943275,14.72,0.0758444869343531,0.014945652173913044,1.0,11.626000000000001,0.7898097826086956,0.050951086956521736,68.68326576516847,204.7344543370846,289.97812273019736,"{0: 0.13959390862944163, 1: 0.011523687580025609}",0.9952247194206977,15,EDF + Threshold Downgrade + Admission,44
1468,1468,1467,0,1,0.0,14.67,0.030653950953678476,0.030653950953678476,0.9993188010899182,11.633,0.7929788684389911,0.06198910081743869,70.37967891674634,216.3554781304425,299.534807960692,"{0: 0.04073033707865169, 1: 0.021164021164021163}",0.9998980894912554,15,Proposed: EDF + Feasible Utility,42
1576,1576,1576,0,0,0.0,15.76,0.061548223350253804,0.061548223350253804,1.0,12.458,0.7904822335025382,0.07614213197969544,75.22532152953227,263.17332311352493,340.0920838384418,"{0: 0.07294429708222812, 1: 0.051094890510948905}",0.9998643646606163,15,Proposed: EDF + Feasible Utility,43
1569,1569,1569,0,0,0.0,15.69,0.06054811982154239,0.06054811982154239,1.0,12.371000000000002,0.7884639898024218,0.09623964308476737,76.00823843532999,267.42775881790146,338.57467093877676,"{0: 0.06725888324873096, 1: 0.05377720870678617}",0.9999485211965524,15,Proposed: EDF + Feasible Utility,44
1468,1463,1462,5,1,0.0034059945504087193,14.62,0.0326975476839237,0.02939166097060834,0.9993164730006835,11.603,0.7936388508891928,0.05809979494190021,71.90268100252615,220.28191416619563,296.9012800137446,"{0: 0.047752808988764044, 1: 0.018518518518518517}",0.9997714954814931,15,Proposed: EDF + Feasible Utility + Admission,42
1576,1562,1562,14,0,0.008883248730964468,15.62,0.06091370558375635,0.052496798975672214,1.0,12.371000000000002,0.7919974391805379,0.06978233034571063,74.18729260365217,250.42373810390654,329.37264728396224,"{0: 0.07294429708222812, 1: 0.049878345498783457}",0.9998490383718149,15,Proposed: EDF + Feasible Utility + Admission,43
1569,1556,1556,13,0,0.0082855321861058,15.56,0.06246016571064372,0.05462724935732648,1.0,12.294,0.7901028277634962,0.08611825192802057,76.87928976385592,268.50689758556473,330.5109608007011,"{0: 0.06979695431472081, 1: 0.05505761843790013}",0.9999382184089232,15,Proposed: EDF + Feasible Utility + Admission,44
1954,1954,1948,0,6,0.0,19.48,0.6192425793244627,0.6192425793244627,0.9969293756397134,15.584000000000001,0.8,0.0,259.4059524089389,723.0651185802483,987.4948709970556,"{0: 0.8442105263157895, 1: 0.4063745019920319}",0.7455270350505183,20,FIFO + Fixed,42
2084,2084,2072,0,12,0.0,20.72,0.9203454894433781,0.9203454894433781,0.9942418426103646,16.576,0.8,0.0,1145.8375399531324,1853.3536502539932,2093.172768717127,"{0: 0.9727547931382442, 1: 0.8728270814272644}",0.7048359887388125,20,FIFO + Fixed,43
2075,2075,2055,0,20,0.0,20.55,0.9344578313253012,0.9344578313253012,0.9903614457831326,16.44,0.8000000000000003,0.0,928.6585692710214,1894.659009721082,2347.2997349856287,"{0: 0.9682854311199207, 1: 0.9024390243902439}",0.7940057654808492,20,FIFO + Fixed,44
1954,1954,1948,0,6,0.0,19.48,0.6402251791197543,0.6402251791197543,0.9969293756397134,15.584000000000001,0.8,0.0,254.8301638418052,755.6876455393615,1007.3460822945129,"{0: 0.6810526315789474, 1: 0.601593625498008}",0.9878794184819555,20,EDF + Fixed,42
2084,2084,2072,0,12,0.0,20.72,0.9241842610364683,0.9241842610364683,0.9942418426103646,16.576,0.8,0.0,1149.8634749587472,1889.5039697103036,2111.191320680791,"{0: 0.9323915237134208, 1: 0.9167429094236048}",0.9893555334516126,20,EDF + Fixed,43
